id,station_name,city,county,state,latitude,longitude,ev_level2_evse_num,ev_dc_fast_num,ev_network
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
33179,LADWP - Lincoln Heights District,Los Angeles,,CA,34.081998,-118.21713,79,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
1589,LADWP - Palmetto Center,Los Angeles,,CA,34.039736,-118.236065,27,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
6505,City of Pasadena - Holly Street Garage,Pasadena,,CA,34.14762,-118.147111,26,0,Non-Networked
